Full Name,Cole Number,Collection Status,Species,Picture,Flower Color,Flower Picture,Subspecies,Variety,Form,Locality Data,Watering,Cultivar Name,Synonym,Cultivar and Synonym
L. amicorum,C410,FALSE,amicorum,,W,,, ,,"TL: 75 km SE of Aus, Namibia",,,,
L. aucampiae ssp. aucampiae v. aucampiae,C002,FALSE,aucampiae,,Y,,ssp. aucampiae,v. aucampiae,,"Near Danielskuil, South Africa",,,,
L. aucampiae ssp. aucampiae v. aucampiae,C003,FALSE,aucampiae,,Y,,ssp. aucampiae,v. aucampiae,,"10 km SE of Postmasburg, South Africa",,,,
L. aucampiae ssp. aucampiae v. aucampiae,C004,FALSE,aucampiae,,Y,,ssp. aucampiae,v. aucampiae,,"5 km N of Postmasburg, South Africa",,,,
L. aucampiae ssp. aucampiae v. aucampiae,C046,FALSE,aucampiae,,Y,,ssp. aucampiae,v. aucampiae,,"5 km NE of Griquatown, South Africa",,,,
L. aucampiae ssp. aucampiae v. aucampiae,C061,FALSE,aucampiae,,Y,,ssp. aucampiae,v. aucampiae,,"70 km WSW of Vryburg, South Africa",,,,
L. aucampiae ssp. aucampiae v. aucampiae,C117,FALSE,aucampiae,,Y,,ssp. aucampiae,v. aucampiae,,"45 km NW of Griquatown, South Africa",,,,
L. aucampiae ssp. aucampiae v. aucampiae,C172,FALSE,aucampiae,,Y,,ssp. aucampiae,v. aucampiae,,"5 km W of Sishen, South Africa",,,,
L. aucampiae ssp. aucampiae v. aucampiae,C255,FALSE,aucampiae,,Y,,ssp. aucampiae,v. aucampiae,,"TL: 15 km NNW of Postmasburg, South Africa",,,,
L. aucampiae ssp. aucampiae v. aucampiae,C257,FALSE,aucampiae,,Y,,ssp. aucampiae,v. aucampiae,,"40 km W of Postmasburg, South Africa",,,,
L. aucampiae ssp. aucampiae v. aucampiae,C298,FALSE,aucampiae,,Y,,ssp. aucampiae,v. aucampiae,,"Near Severn, South Africa",,,,
L. aucampiae ssp. aucampiae v. aucampiae,C333,FALSE,aucampiae,,Y,,ssp. aucampiae,v. aucampiae,,"Near Griquatown, South Africa",,,,
L. aucampiae ssp. aucampiae v. aucampiae,C334,FALSE,aucampiae,,Y,,ssp. aucampiae,v. aucampiae,,"15 km NNE of Olifantshoek, South Africa",,,,
L. aucampiae ssp. aucampiae v. aucampiae,C366,FALSE,aucampiae,,Y,,ssp. aucampiae,v. aucampiae,,"Near Danielskuil, South Africa",,,,
